timestamp, open, high, low, close, volume
1738789500000,198.62000000,198.84000000,198.16000000,198.76000000,20171.90000000
1738789800000,198.76000000,198.96000000,198.21000000,198.30000000,8237.60000000
1738790100000,198.30000000,198.96000000,198.10000000,198.78000000,8797.10000000
1738790400000,198.78000000,199.06000000,198.67000000,199.00000000,22069.20000000
1738790700000,199.00000000,199.31000000,198.72000000,198.82000000,12865.60000000
1738791000000,198.82000000,199.88000000,198.73000000,199.75000000,16831.20000000
1738791300000,199.75000000,199.97000000,199.32000000,199.92000000,7633.60000000
1738791600000,199.92000000,199.94000000,199.47000000,199.68000000,11724.40000000
1738791900000,199.68000000,199.96000000,199.13000000,199.80000000,7745.80000000
1738792200000,199.80000000,199.96000000,199.33000000,199.63000000,10445.00000000
1738792500000,199.63000000,199.81000000,198.61000000,198.76000000,22387.90000000
1738792800000,198.76000000,198.80000000,197.65000000,198.32000000,40769.30000000
1738793100000,198.32000000,198.80000000,197.93000000,198.45000000,10967.80000000
1738793400000,198.45000000,199.22000000,198.25000000,199.16000000,10100.20000000
1738793700000,199.16000000,199.38000000,197.69000000,197.93000000,15532.90000000
1738794000000,197.93000000,197.99000000,196.80000000,196.89000000,27382.90000000
1738794300000,196.89000000,197.22000000,196.68000000,196.88000000,17980.10000000
1738794600000,196.88000000,197.73000000,196.70000000,197.15000000,16041.20000000
1738794900000,197.15000000,197.24000000,195.50000000,195.95000000,62586.30000000
1738795200000,195.95000000,196.36000000,195.55000000,195.56000000,26251.00000000
1738795500000,195.56000000,196.45000000,195.41000000,196.24000000,14720.20000000
1738795800000,196.24000000,196.43000000,196.14000000,196.15000000,8730.20000000
1738796100000,196.15000000,196.23000000,195.70000000,195.86000000,18853.30000000
1738796400000,195.86000000,196.23000000,195.31000000,195.77000000,36173.00000000
1738796700000,195.77000000,196.78000000,195.71000000,196.47000000,26661.70000000
1738797000000,196.47000000,197.36000000,196.35000000,196.88000000,25718.70000000
1738797300000,196.88000000,196.93000000,196.28000000,196.66000000,10435.60000000
1738797600000,196.66000000,197.02000000,196.17000000,196.81000000,17135.70000000
1738797900000,196.81000000,196.83000000,195.44000000,195.53000000,15051.60000000
1738798200000,195.53000000,195.72000000,195.02000000,195.58000000,30193.70000000
1738798500000,195.58000000,196.24000000,195.37000000,195.83000000,26454.30000000
1738798800000,195.83000000,196.42000000,195.71000000,196.17000000,10953.70000000
1738799100000,196.17000000,196.39000000,195.59000000,196.06000000,37067.90000000
1738799400000,196.06000000,196.24000000,195.63000000,195.99000000,7429.60000000
1738799700000,195.99000000,196.10000000,195.55000000,195.99000000,24923.60000000
1738800000000,195.99000000,197.73000000,195.91000000,197.72000000,50330.30000000
1738800300000,197.72000000,197.79000000,196.76000000,196.94000000,32933.00000000
1738800600000,196.94000000,198.09000000,196.91000000,197.73000000,25344.90000000
1738800900000,197.73000000,198.05000000,197.49000000,197.76000000,20815.70000000
1738801200000,197.76000000,198.70000000,197.73000000,198.24000000,33771.90000000
1738801500000,198.24000000,198.30000000,197.86000000,198.12000000,10376.30000000
1738801800000,198.12000000,198.33000000,197.48000000,197.90000000,27956.40000000
1738802100000,197.90000000,198.80000000,197.86000000,198.13000000,17839.80000000
1738802400000,198.13000000,198.22000000,197.30000000,197.78000000,24518.60000000
1738802700000,197.78000000,197.84000000,196.55000000,196.70000000,28668.80000000
1738803000000,196.70000000,197.15000000,196.53000000,196.79000000,24630.00000000
1738803300000,196.79000000,197.28000000,196.77000000,197.04000000,12295.10000000
1738803600000,197.04000000,197.10000000,196.03000000,196.84000000,35807.30000000
1738803900000,196.84000000,198.55000000,196.58000000,198.50000000,19478.20000000
1738804200000,198.50000000,198.99000000,198.36000000,198.92000000,22249.00000000
1738804500000,198.92000000,198.96000000,198.30000000,198.47000000,10569.80000000
1738804800000,198.47000000,199.87000000,198.47000000,199.39000000,28584.40000000
1738805100000,199.39000000,199.51000000,198.70000000,198.73000000,12329.00000000
1738805400000,198.73000000,198.86000000,197.88000000,198.86000000,27243.70000000
1738805700000,198.86000000,198.93000000,198.05000000,198.43000000,12110.60000000
1738806000000,198.43000000,199.04000000,198.15000000,198.20000000,15688.20000000
1738806300000,198.20000000,198.99000000,198.13000000,198.79000000,12838.90000000
1738806600000,198.79000000,199.13000000,198.40000000,199.13000000,10997.80000000
1738806900000,199.13000000,199.46000000,199.12000000,199.24000000,8139.00000000
1738807200000,199.24000000,199.82000000,199.03000000,199.80000000,10213.90000000
1738807500000,199.80000000,200.13000000,199.53000000,199.75000000,17338.30000000
1738807800000,199.75000000,200.61000000,199.57000000,200.54000000,16474.10000000
1738808100000,200.54000000,200.87000000,199.93000000,200.28000000,14765.20000000
